blockchain,num_swaps,period,unique_swap_addresses,volume
bnb,23098,2025-05-05 00:00:00.000 UTC,3869,2570444.3516254127
bnb,6499,2025-02-22 00:00:00.000 UTC,1794,218999.83508223802
avalanche_c,1811,2025-03-05 00:00:00.000 UTC,523,15711.45248531586
avalanche_c,1285,2025-03-19 00:00:00.000 UTC,300,20218.073323674173
blast,29,2025-06-04 00:00:00.000 UTC,17,2.6420203469624677
bnb,23355,2025-05-13 00:00:00.000 UTC,4176,8710556.681832714
bnb,22732,2025-05-02 00:00:00.000 UTC,3257,2523792.0801318632
worldchain,21744,2025-03-31 00:00:00.000 UTC,28,1508.1218592201146
base,86049,2025-05-31 00:00:00.000 UTC,13644,5027398.023390547
polygon,22144,2025-03-18 00:00:00.000 UTC,3446,1003024.1374539435
optimism,14634,2025-03-20 00:00:00.000 UTC,1535,139180.31081268025
zora,84,2025-04-25 00:00:00.000 UTC,16,107.98196191197377
worldchain,30312,2025-05-18 00:00:00.000 UTC,133,12108.462109323551
bnb,1982831,2025-05-21 00:00:00.000 UTC,79971,3634545376.8803496
arbitrum,7950,2025-02-02 00:00:00.000 UTC,454,2126348.224913659
zora,189,2025-03-05 00:00:00.000 UTC,118,847.0083886351397
zora,44,2025-04-30 00:00:00.000 UTC,7,32.03242316091705
worldchain,11,2025-02-22 00:00:00.000 UTC,4,3.9526637968541443
arbitrum,26300,2025-03-18 00:00:00.000 UTC,2356,7587011.941086899
avalanche_c,1743,2025-05-02 00:00:00.000 UTC,333,19186.73623002549
arbitrum,45587,2025-02-27 00:00:00.000 UTC,2234,18951333.647328522
bnb,9162,2025-04-20 00:00:00.000 UTC,2556,837676.9537379225
optimism,46,2025-01-27 00:00:00.000 UTC,9,6.524588212453632
worldchain,3,2025-02-01 00:00:00.000 UTC,2,7.476122399565903
zora,2,2025-01-31 00:00:00.000 UTC,1,0.28499195770499997
arbitrum,14667,2025-04-19 00:00:00.000 UTC,2325,2682512.1924596205
arbitrum,38822,2025-04-14 00:00:00.000 UTC,2747,11105566.974368788
base,120537,2025-05-27 00:00:00.000 UTC,29130,8366707.440152297
polygon,18710,2025-03-30 00:00:00.000 UTC,2494,788757.9321695222
avalanche_c,943,2025-03-17 00:00:00.000 UTC,202,16831.924892575757
worldchain,29499,2025-04-01 00:00:00.000 UTC,34,3031.091850277348
worldchain,12,2025-02-20 00:00:00.000 UTC,3,13.673086730610045
avalanche_c,2,2025-01-25 00:00:00.000 UTC,1,1.2936315234937166
ethereum,11750,2025-02-21 00:00:00.000 UTC,4665,59222633.38172021
polygon,19941,2025-04-18 00:00:00.000 UTC,7150,1234678.4480777462
zora,29,2025-05-02 00:00:00.000 UTC,7,23.55926930481483
base,41711,2025-03-02 00:00:00.000 UTC,9167,3258476.458631824
blast,15,2025-04-23 00:00:00.000 UTC,8,1.0382904956322665
base,63357,2025-04-30 00:00:00.000 UTC,11419,14680206.82033756
ethereum,11845,2025-03-17 00:00:00.000 UTC,5007,12220502.135872895
optimism,11472,2025-04-09 00:00:00.000 UTC,1090,267467.9019184339
worldchain,37411,2025-04-20 00:00:00.000 UTC,77,4493.885360443862
worldchain,8306,2025-03-11 00:00:00.000 UTC,18,150.06728112680062
