average_block_time_14ma,day,difficulty_14ma,hash_rate_14ma
9.408381580582256,2021-09-22 00:00:00.000 UTC,18472322831949.355,141.61024974987822
9.256218658346341,2021-09-23 00:00:00.000 UTC,18513928855495.12,144.43947112832709
9.24226510395161,2021-09-24 00:00:00.000 UTC,18555534879040.883,144.94916839800348
9.23695622364273,2021-09-25 00:00:00.000 UTC,18597140902586.65,145.33961158731165
9.278894684535823,2021-09-26 00:00:00.000 UTC,18638746926132.41,145.04211417826608
9.287496835073457,2021-09-27 00:00:00.000 UTC,18680352949678.176,145.2321519016919
9.35597159339784,2021-09-28 00:00:00.000 UTC,18721958973223.938,144.33254912211893
9.419537604851175,2021-09-29 00:00:00.000 UTC,18763564996769.7,143.79002389765478
9.263049571041162,2021-09-30 00:00:00.000 UTC,18805171020315.465,146.72865523018285
9.293783293101415,2021-10-01 00:00:00.000 UTC,18846777043861.227,146.58826670906916
9.173264124555478,2021-10-02 00:00:00.000 UTC,18888383067406.992,149.61456120875815
9.21609150550786,2021-10-03 00:00:00.000 UTC,18929989090952.754,149.22394322001057
9.253425106865851,2021-10-04 00:00:00.000 UTC,18972415081427.836,148.89812037054358
9.040446012789197,2021-10-05 00:00:00.000 UTC,19062418549175.066,152.71785340281235
9.059798541313423,2021-10-06 00:00:00.000 UTC,19126375969661.934,152.90846005096995
9.181747514326227,2021-10-07 00:00:00.000 UTC,19190333390148.805,151.25780626892342
9.328369135947849,2021-10-08 00:00:00.000 UTC,19254290810635.676,149.8520877214125
9.301226278804991,2021-10-09 00:00:00.000 UTC,19318248231122.543,150.78012399833167
9.199576062589824,2021-10-10 00:00:00.000 UTC,19382205651609.414,152.9616138607605
9.240712985763865,2021-10-11 00:00:00.000 UTC,19446163072096.285,152.77063253890216
9.32663207453056,2021-10-12 00:00:00.000 UTC,19510120492583.156,151.9613785701681
9.149244077911792,2021-10-13 00:00:00.000 UTC,19574077913070.027,155.37685272149068
9.30201347098084,2021-10-14 00:00:00.000 UTC,19638035333556.9,153.23584876585832
9.298594018093302,2021-10-15 00:00:00.000 UTC,19701992754043.77,153.75688774619
9.525166337950697,2021-10-16 00:00:00.000 UTC,19765950174530.637,149.8956378745749
9.487249671284031,2021-10-17 00:00:00.000 UTC,19829907595017.508,151.07162542094895
9.516071075105435,2021-10-18 00:00:00.000 UTC,19894781962939.375,151.09405594328067
9.561499309341697,2021-10-19 00:00:00.000 UTC,19908311611671.926,150.32767703452285
9.471455176518733,2021-10-20 00:00:00.000 UTC,19921841260404.477,151.77256487389278
9.436144790144516,2021-10-21 00:00:00.000 UTC,19935370909137.027,152.43598883242274
9.22285365090401,2021-10-22 00:00:00.000 UTC,19948900557869.582,155.58807249455904
9.244824094253763,2021-10-23 00:00:00.000 UTC,19962430206602.133,155.3269259177245
9.276543700335191,2021-10-24 00:00:00.000 UTC,19975959855334.684,154.8399024064469
9.127772706163022,2021-10-25 00:00:00.000 UTC,19989489504067.234,158.08083957436153
9.062868654990314,2021-10-26 00:00:00.000 UTC,20003019152799.785,159.14590572971153
9.109532916745218,2021-10-27 00:00:00.000 UTC,20016548801532.336,158.30816404515218
9.03050179091289,2021-10-28 00:00:00.000 UTC,20030078450264.887,159.66018908670586
8.897643048311705,2021-10-29 00:00:00.000 UTC,20043608098997.44,162.27025593684246
8.79850233939656,2021-10-30 00:00:00.000 UTC,20057137747729.992,163.95498892997256
8.865774949879603,2021-10-31 00:00:00.000 UTC,20085253174799.547,163.0131061306093
8.88749309659775,2021-11-01 00:00:00.000 UTC,20209680530770.215,163.5951455497989
8.862733719592558,2021-11-02 00:00:00.000 UTC,20322315152372.645,165.00044754117653
8.804129478362947,2021-11-03 00:00:00.000 UTC,20434949773975.07,167.06477171327654
8.838703012936481,2021-11-04 00:00:00.000 UTC,20547584395577.5,167.34086552060063
8.846925027753025,2021-11-05 00:00:00.000 UTC,20660219017179.93,168.10733612521375
8.809425827445944,2021-11-06 00:00:00.000 UTC,20772853638782.355,169.65528189839793
8.810359534262004,2021-11-07 00:00:00.000 UTC,20885488260384.785,170.5395827233786
9.0141533594844,2021-11-08 00:00:00.000 UTC,20998122881987.215,167.3640625291563
8.982799976025754,2021-11-09 00:00:00.000 UTC,21110757503589.645,168.80762753044527
9.018085256726328,2021-11-10 00:00:00.000 UTC,21223392125192.07,169.050454787164
8.989663339436207,2021-11-11 00:00:00.000 UTC,21336026746794.5,170.52151322662687
9.110096464502394,2021-11-12 00:00:00.000 UTC,21448661368396.93,169.05069166352683
9.127183299236288,2021-11-13 00:00:00.000 UTC,21561295989999.355,169.6338632121618
9.06490955135561,2021-11-14 00:00:00.000 UTC,21714748112619.914,171.9700073606068
9.028182071747336,2021-11-15 00:00:00.000 UTC,21787234069776.22,173.20469996770748
9.056090450288627,2021-11-16 00:00:00.000 UTC,21859720026932.523,173.2206727236383
9.120926714528784,2021-11-17 00:00:00.000 UTC,21932205984088.824,172.48168703370447
9.108661202263272,2021-11-18 00:00:00.000 UTC,22004691941245.13,173.22928928663035
9.207786635342085,2021-11-19 00:00:00.000 UTC,22077177898401.434,172.00184946903664
9.24725627899892,2021-11-20 00:00:00.000 UTC,22149663855557.74,171.82362864991643
9.353263833535888,2021-11-21 00:00:00.000 UTC,22222149812714.04,170.56018964996107
9.300680246909748,2021-11-22 00:00:00.000 UTC,22294635769870.348,171.96851084747058
9.422120210454974,2021-11-23 00:00:00.000 UTC,22367121727026.652,170.4699118225985
9.39047460218388,2021-11-24 00:00:00.000 UTC,22439607684182.957,171.67254541199185
9.535049647391835,2021-11-25 00:00:00.000 UTC,22512093641339.258,169.6962422219214
9.596890388810042,2021-11-26 00:00:00.000 UTC,22584579598495.562,169.22730928620717
9.636047310319906,2021-11-27 00:00:00.000 UTC,22657065555651.867,169.06797763270507
9.714251171252997,2021-11-28 00:00:00.000 UTC,22659189317241.094,167.6199597733891
9.750347525230145,2021-11-29 00:00:00.000 UTC,22635011534061.324,166.75854807923977
9.832685833687858,2021-11-30 00:00:00.000 UTC,22610833750881.56,165.1146787484265
9.905230640568627,2021-12-01 00:00:00.000 UTC,22586655967701.79,163.70927464525025
9.850801557107285,2021-12-02 00:00:00.000 UTC,22562478184522.023,164.56381613961943
9.695775860697335,2021-12-03 00:00:00.000 UTC,22538300401342.254,167.47590537327034
9.661881056947136,2021-12-04 00:00:00.000 UTC,22514122618162.49,167.93107119105292
9.49076151383964,2021-12-05 00:00:00.000 UTC,22489944834982.72,171.02878151108732
9.389718300908749,2021-12-06 00:00:00.000 UTC,22465767051802.95,172.9982602500069
9.260930422120868,2021-12-07 00:00:00.000 UTC,22441589268623.184,175.03382555945106
9.207245253786018,2021-12-08 00:00:00.000 UTC,22417411485443.414,176.06204929946065
9.051329390508192,2021-12-09 00:00:00.000 UTC,22393233702263.65,178.69276750385166
8.939857529036331,2021-12-10 00:00:00.000 UTC,22369055919083.88,180.46744483006668
8.900737708459557,2021-12-11 00:00:00.000 UTC,22425808007935.477,181.6494675145037
8.89674416859757,2021-12-12 00:00:00.000 UTC,22549419691801.742,182.62188911981147
8.912487290723671,2021-12-13 00:00:00.000 UTC,22682250242635.832,183.32581312530561
8.842665069782047,2021-12-14 00:00:00.000 UTC,22815080793469.918,185.57263202414074
8.80461568323134,2021-12-15 00:00:00.000 UTC,22947911344304.008,187.15582566222048
9.032405705271012,2021-12-16 00:00:00.000 UTC,23080741895138.098,184.4929204735836
9.120604239718348,2021-12-17 00:00:00.000 UTC,23213572445972.188,183.59571094147955
9.262053692483324,2021-12-18 00:00:00.000 UTC,23346402996806.277,182.16570087828035
9.345282099880892,2021-12-19 00:00:00.000 UTC,23479233547640.367,181.39945298681556
9.45367080419983,2021-12-20 00:00:00.000 UTC,23612064098474.457,180.11512732286639
9.425841490656229,2021-12-21 00:00:00.000 UTC,23744894649308.543,181.8418956847854
9.514161953976693,2021-12-22 00:00:00.000 UTC,23877725200142.633,180.96028319988082
9.542634208231963,2021-12-23 00:00:00.000 UTC,24010555750976.723,181.42536426987513
9.569676150836822,2021-12-24 00:00:00.000 UTC,24143386301810.812,181.92620905219815
9.594048813809295,2021-12-25 00:00:00.000 UTC,24198656296198.07,181.86512147568428
9.629565109879962,2021-12-26 00:00:00.000 UTC,24204159511652.812,181.29043514029328
9.59176971570159,2021-12-27 00:00:00.000 UTC,24209662727107.55,182.05987452974253
9.673319015534473,2021-12-28 00:00:00.000 UTC,24215165942562.285,180.5958040697606
9.652639841443705,2021-12-29 00:00:00.000 UTC,24220669158017.027,181.02618632657908
9.622669592474551,2021-12-30 00:00:00.000 UTC,24226172373471.77,181.43488861831767
9.625066524401685,2021-12-31 00:00:00.000 UTC,24231675588926.504,181.42856965731966
9.398205540182415,2022-01-01 00:00:00.000 UTC,24237178804381.242,186.08385136931324
9.363932447715456,2022-01-02 00:00:00.000 UTC,24242682019835.98,186.8687089386506
9.385361019144028,2022-01-03 00:00:00.000 UTC,24248185235290.723,186.51026455541705
9.44221233109738,2022-01-04 00:00:00.000 UTC,24253688450745.46,185.2865330608401
9.430082343967394,2022-01-05 00:00:00.000 UTC,24259191666200.2,185.58084983724217
9.474551393303061,2022-01-06 00:00:00.000 UTC,24264694881654.94,184.69695278800194
9.515026457500927,2022-01-07 00:00:00.000 UTC,24270198097109.68,183.95902025502113
9.516585414417026,2022-01-08 00:00:00.000 UTC,24277269626809.527,183.982185214738
9.489290279151106,2022-01-09 00:00:00.000 UTC,24284379813764.215,184.50080718470622
9.514128497651297,2022-01-10 00:00:00.000 UTC,24291490000718.906,184.06574569175663
9.398483845685089,2022-01-11 00:00:00.000 UTC,24298600187673.598,186.37953026547027
9.424553236477873,2022-01-12 00:00:00.000 UTC,24305710374628.285,185.94353454443828
9.138527094177377,2022-01-13 00:00:00.000 UTC,24312820561582.973,191.69690616748431
9.0930878978581,2022-01-14 00:00:00.000 UTC,24319930748537.664,192.7549685341273
9.123943879925905,2022-01-15 00:00:00.000 UTC,24327040935492.355,191.97880016404378
9.054855788993331,2022-01-16 00:00:00.000 UTC,24334151122447.043,193.81940032735514
8.947579835133526,2022-01-17 00:00:00.000 UTC,24341261309401.73,196.17274190593506
9.022931404332633,2022-01-18 00:00:00.000 UTC,24348371496356.426,194.84154728661497
8.938483289826715,2022-01-19 00:00:00.000 UTC,24355481683311.113,196.9586529587486
8.83532090953051,2022-01-20 00:00:00.000 UTC,24362591870265.8,199.39793813517912
8.868194805357499,2022-01-21 00:00:00.000 UTC,24510145572409.2,199.85904549649257
8.922580614407487,2022-01-22 00:00:00.000 UTC,24674554603976.375,200.02537652127685
8.897251333759057,2022-01-23 00:00:00.000 UTC,24836791078418.504,201.71265788730994
8.880765753611504,2022-01-24 00:00:00.000 UTC,24999027552860.633,203.27645718241277
8.895327474369093,2022-01-25 00:00:00.000 UTC,25161264027302.76,204.2553619620892
8.958723790283395,2022-01-26 00:00:00.000 UTC,25323500501744.895,204.288105533539
9.172363726192938,2022-01-27 00:00:00.000 UTC,25485736976187.023,200.71483072117567
9.18993936708394,2022-01-28 00:00:00.000 UTC,25647973450629.152,201.62580308457538
9.264094087595904,2022-01-29 00:00:00.000 UTC,25810209925071.28,201.17942933338048
9.374110861428724,2022-01-30 00:00:00.000 UTC,25972446399513.41,199.7658105239148
9.47219600609772,2022-01-31 00:00:00.000 UTC,26134682873955.54,198.83438128027888
9.371533013628005,2022-02-01 00:00:00.000 UTC,26296919348397.668,202.06970202201322
9.447017542699749,2022-02-02 00:00:00.000 UTC,26459155822839.8,201.50049483836784
9.54122056625913,2022-02-03 00:00:00.000 UTC,26621392297281.93,200.53997272090763
9.564272887072645,2022-02-04 00:00:00.000 UTC,26646150511216.22,200.3058641411931
9.66899238681284,2022-02-05 00:00:00.000 UTC,26649531941992.652,198.63716601000573
9.614057073898804,2022-02-06 00:00:00.000 UTC,26652913372769.086,199.91914890874676
9.665975841405807,2022-02-07 00:00:00.000 UTC,26656294803545.52,198.89150447186617
9.663778790336575,2022-02-08 00:00:00.000 UTC,26659676234321.95,198.97235592832936
9.59894362550141,2022-02-09 00:00:00.000 UTC,26663057665098.383,200.17542985459596
9.510608400462647,2022-02-10 00:00:00.000 UTC,26666439095874.816,201.91619060841722
9.570918311879199,2022-02-11 00:00:00.000 UTC,26669820526651.25,200.5931852293028
9.422449528392649,2022-02-12 00:00:00.000 UTC,26673201957427.684,204.89016576103904
9.376547970266364,2022-02-13 00:00:00.000 UTC,26676583388204.117,206.0067812252921
9.32112626778584,2022-02-14 00:00:00.000 UTC,26679964818980.55,207.26262397740055
9.233668011756153,2022-02-15 00:00:00.000 UTC,26683346249756.98,209.7537864838078
9.22413342869216,2022-02-16 00:00:00.000 UTC,26686727680533.414,210.01217676019513
9.183128309629065,2022-02-17 00:00:00.000 UTC,26735412534927.79,211.3719013444369
9.167005626342203,2022-02-18 00:00:00.000 UTC,26827016371382.55,212.2884434086272
8.987759431219859,2022-02-19 00:00:00.000 UTC,26918204031741.746,216.23255600331998
9.03793495014538,2022-02-20 00:00:00.000 UTC,27009391692100.94,215.766384635668
9.113983662313172,2022-02-21 00:00:00.000 UTC,27100579352460.137,215.0574549840321
9.134977705863607,2022-02-22 00:00:00.000 UTC,27191767012819.336,215.27525310393236
9.079739610625513,2022-02-23 00:00:00.000 UTC,27282954673178.53,217.1914134499898
9.161825042200741,2022-02-24 00:00:00.000 UTC,27374142333537.727,216.20569811850763
9.204656658765803,2022-02-25 00:00:00.000 UTC,27465329993896.926,216.01716380276386
9.462337331034712,2022-02-26 00:00:00.000 UTC,27556517654256.12,210.2609958045927
9.57858826178676,2022-02-27 00:00:00.000 UTC,27647705314615.316,208.39863210571397
9.575853834682585,2022-02-28 00:00:00.000 UTC,27738892974974.51,209.20191307155187
9.629819569124509,2022-03-01 00:00:00.000 UTC,27830080635333.71,208.3737023161255
