Timestamp,Date,Measure,bIB01,BENJI,WTSYX,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,BUIDL,XTBT,XEVT,bCSPX,SKHC,PARAVII,NOTE,XRV,ACRED,EQTYX,MODRX,LNGVX,WTSIX,SPXUX,TECHX,RE,VBILL,XFTB
1679616000000,2023-03-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679702400000,2023-03-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679788800000,2023-03-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679875200000,2023-03-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679961600000,2023-03-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680048000000,2023-03-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680134400000,2023-03-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680220800000,2023-03-31,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680307200000,2023-04-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680393600000,2023-04-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680480000000,2023-04-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680566400000,2023-04-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680652800000,2023-04-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680739200000,2023-04-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680825600000,2023-04-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680912000000,2023-04-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1680998400000,2023-04-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681084800000,2023-04-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681171200000,2023-04-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681257600000,2023-04-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681344000000,2023-04-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681430400000,2023-04-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1681516800000,2023-04-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
